TIME,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,Dataset
Total EU,NA,NA,NA,NA,NA,3612990,3835305,3604875,3649540,3752790,3817035,3900195,3806210,3858565,3915945,3964575,4009120,4049585,4080660,4131735,4170800,4204115,4241505,4152480,4138355,4141670,4188940,4244125,4057580,4094255,4127735,4128775,4164560,4189980,4212900,4233950,4188990,4193540,NA,TempProtectionBeneficiaries
Belgium,25930,36745,43780,47945,51035,54100,56245,55205,60050,61760,61100,62165,63085,63930,64950,66125,67125,68500,69770,71070,72085,72970,74115,75075,75985,76935,77875,78730,80090,81510,82805,83930,84685,85485,86530,87285,87770,87815,88270,TempProtectionBeneficiaries
Bulgaria,30505,92030,111895,118810,125275,129755,134235,141480,144315,146805,149200,150980,152930,154380,157010,160040,162325,164210,165855,167605,169135,170250,171555,45425,48865,50645,53570,57000,59860,62135,63935,65635,67145,68535,69935,70655,72220,73990,NA,TempProtectionBeneficiaries
Czechia,249465,314015,351875,372120,386995,397380,407480,418680,423870,431310,439750,446695,324375,330980,339205,348245,356645,364175,357085,363575,368450,372145,380295,384180,363510,344600,355595,359965,368790,376065,377665,378560,384380,387810,394170,396925,364290,369820,NA,TempProtectionBeneficiaries
Denmark,1220,10385,20610,25050,26160,27635,29455,29505,30340,31815,32570,33510,34470,34565,34980,35285,35590,36520,37080,35400,35725,35920,36295,36795,31445,32135,32705,33760,34725,35480,36615,37585,38595,36610,34385,34670,35225,35705,36300,TempProtectionBeneficiaries
Germany,NA,NA,NA,NA,NA,679640,789545,847105,901930,936375,971920,1000530,1032465,1054155,1074830,1096040,1115975,1137325,1156225,1176395,1196730,1211785,1230350,1246475,1261455,1277655,1291685,1306505,1075225,1086890,1093855,1105210,1117115,1125985,1134850,1142310,1149375,1153990,1157530,TempProtectionBeneficiaries
Estonia,13745,22200,25750,27890,29600,31905,33885,35855,37305,38235,38930,39655,36875,35005,34975,35090,35305,35660,35700,35740,35765,35825,35640,35095,33840,32670,33515,32275,33715,33735,34130,34640,35015,35330,35610,35785,33505,33880,NA,TempProtectionBeneficiaries
Ireland,12705,24635,32520,39365,45065,49015,53830,59845,63925,68475,71085,74125,77270,79115,81775,84795,88075,90180,93050,96255,98345,100415,101720,102370,103195,103755,104515,105190,105955,106330,106815,107550,108070,108880,109455,110130,110620,111020,NA,TempProtectionBeneficiaries
Greece,0,8800,14615,16580,17870,18890,19585,20215,20810,21315,21760,22055,22470,23075,23410,24340,25090,25490,25845,26185,26425,26595,26840,27035,27405,28360,29505,30215,30865,31210,31515,31835,32100,32305,32540,32735,32975,33940,35180,TempProtectionBeneficiaries
Spain,32585,82005,114190,125405,131710,137875,143620,148630,153760,158310,162560,165965,169555,171965,174740,176865,179160,181310,183590,186255,188885,191080,193825,196440,199240,202310,202205,205255,208120,210925,214050,217580,219910,222190,225180,227020,229250,231260,NA,TempProtectionBeneficiaries
