TIME,2020,2021,2022,2023,2024,Unit of measure,Class
Belgium,25,22.7,21.7,22.5,22.5,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Bulgaria,21,20.5,19.6,18.7,17.2,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Czechia,12.3,12,12.3,13.4,13.5,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Denmark,25.9,25.5,25.8,25.6,24.2,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Germany,20,21.7,22.3,22.6,21.8,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Estonia,16.8,16.7,16.9,17.5,18.4,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Ireland,19.6,17.7,17.5,17.4,16.5,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Greece,24.3,23.5,22.7,22.4,21.8,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Spain,38.2,38.3,38.1,37.7,37,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
France,22.3,22.1,21.3,21.1,20.9,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Croatia,17.4,16.8,16,15.2,14.4,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Italy,39.5,39.2,38.8,36.7,35.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Cyprus,20.5,19.2,18.4,17.7,17.9,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Latvia,14.6,14.2,14.9,16,16.5,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Lithuania,10.8,10.9,11.3,11.6,11.9,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Luxembourg,27.2,25.1,24.2,23.7,22.8,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Hungary,19.6,19.1,18.6,18.1,17.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Malta,36.9,34,31.5,29.6,29.3,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Netherlands,24,23.6,23,23.6,23.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Austria,18.7,18.5,18.6,18.5,18.3,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Poland,12.9,12.9,12.7,12,11.8,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Portugal,45.4,42.6,41.5,41.1,38.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Romania,23.7,21.6,20.7,22.3,22.4,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Slovenia,14.5,13.3,13.8,16.4,16.2,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Slovakia,13.5,13.2,12.8,12.8,12.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Finland,15.9,18.2,18.1,18.5,18.7,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Sweden,20.7,20.2,19.5,19.2,19,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Iceland,27.6,24.8,25.3,23.8,23.1,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Norway,23.5,24.7,25,24.1,24,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Switzerland,16.2,17.5,18.6,18.5,18.6,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
United Kingdom,,,,,,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Montenegro,17.9,,,,,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)"
Belgium,75,77.3,78.3,77.5,77.5,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Bulgaria,79,79.5,80.4,81.3,82.8,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Czechia,87.7,88,87.7,86.6,86.5,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Denmark,74.1,74.5,74.2,74.4,75.8,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Germany,80,78.3,77.7,77.4,78.2,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Estonia,83.2,83.3,83.1,82.5,81.6,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Ireland,80.4,82.3,82.5,82.6,83.5,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Greece,75.7,76.5,77.3,77.6,78.2,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Spain,61.8,61.7,61.9,62.3,63,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
France,77.7,77.9,78.7,78.9,79.1,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Croatia,82.6,83.2,84,84.8,85.6,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Italy,60.5,60.8,61.2,63.3,64.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Cyprus,79.5,80.8,81.6,82.3,82.1,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Latvia,85.4,85.8,85.1,84,83.5,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Lithuania,89.2,89.1,88.7,88.4,88.1,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Luxembourg,72.8,74.9,75.8,76.3,77.2,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Hungary,80.4,80.9,81.4,81.9,82.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Malta,63.1,66,68.5,70.4,70.7,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Netherlands,76,76.4,77,76.4,76.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Austria,81.3,81.5,81.4,81.5,81.7,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Poland,87.1,87.1,87.3,88,88.2,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Portugal,54.6,57.4,58.5,58.9,61.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Romania,76.3,78.4,79.3,77.7,77.6,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Slovenia,85.5,86.7,86.2,83.6,83.8,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Slovakia,86.5,86.8,87.2,87.2,87.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Finland,84.1,81.8,81.9,81.5,81.3,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Sweden,79.3,79.8,80.5,80.8,81,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Iceland,72.4,75.2,74.7,76.2,76.9,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Norway,76.5,75.3,75,75.9,76,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Switzerland,83.8,82.5,81.4,81.5,81.4,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
United Kingdom,,,,,,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Montenegro,82.1,,,,,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)"
Belgium,37.4,37.6,38,38.4,38.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Bulgaria,53.2,53.4,54.2,54.6,53.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Czechia,65.6,64.5,64.2,63.1,62.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Denmark,40.4,39.7,39.2,38.9,38.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Germany,52.8,50.2,49.6,48.7,48.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Estonia,48.1,47.3,46.5,46.5,45.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Ireland,37.6,36.9,36.5,36,35.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Greece,47.2,46.4,46.8,47.8,47.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Spain,25.8,25.5,25.4,25.2,25.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
France,42.4,41.6,41.8,41.3,40.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
