TIME,2020,2021,2022,2023,2024,Unit of measure,Class
Belgium,463750.9,506047.2,563710.5,596202.7,613983.9,"Current prices, million euro",Gross domestic product at market prices
Bulgaria,61912.5,71378.4,86082.4,94709.3,103723,"Current prices, million euro",Gross domestic product at market prices
Czechia,220310.6,246012.3,286976.8,317385.8,318895.7,"Current prices, million euro",Gross domestic product at market prices
Denmark,312118.3,345236,382309.3,376430,396960.1,"Current prices, million euro",Gross domestic product at market prices
Germany,3449620,3676460,3953850,4185550,4305260,"Current prices, million euro",Gross domestic product at market prices
Estonia,27859.3,31456.2,36442.8,38187.8,39510.1,"Current prices, million euro",Gross domestic product at market prices
Ireland,382207.1,449216.5,520935.3,509951.8,533444.1,"Current prices, million euro",Gross domestic product at market prices
Greece,167539.5,184574.6,207854.2,225196.9,237573.4,"Current prices, million euro",Gross domestic product at market prices
Spain,1129214,1235474,1373629,1498324,1591627,"Current prices, million euro",Gross domestic product at market prices
France,2318276.2,2508102.3,2653997.2,2826541.5,2919899.9,"Current prices, million euro",Gross domestic product at market prices
Croatia,50720.9,58394.1,67611.5,78060.4,85609.8,"Current prices, million euro",Gross domestic product at market prices
Italy,1670011.9,1842507.4,1998072.6,2131390,2192181.6,"Current prices, million euro",Gross domestic product at market prices
Cyprus,22373.6,25679.9,29377.2,31340,33567.7,"Current prices, million euro",Gross domestic product at market prices
Latvia,29224.3,32283.8,36099.7,39372.4,40208.4,"Current prices, million euro",Gross domestic product at market prices
Lithuania,50264.6,56679.7,67455.5,73792.8,78409.8,"Current prices, million euro",Gross domestic product at market prices
Hungary,138954.5,154971.7,169054.8,197902,206208.5,"Current prices, million euro",Gross domestic product at market prices
Malta,14370.5,16677.3,18273,20545.9,22462.5,"Current prices, million euro",Gross domestic product at market prices
Netherlands,816463,891550,993820,1050133,1122459,"Current prices, million euro",Gross domestic product at market prices
Austria,380317.9,406232.1,448007.4,473226.7,484222.8,"Current prices, million euro",Gross domestic product at market prices
Poland,531827.4,583001.4,661712.3,751931.7,845651.9,"Current prices, million euro",Gross domestic product at market prices
Portugal,201032.7,216493.7,243957.1,267923.2,285180.6,"Current prices, million euro",Gross domestic product at market prices
Romania,221075.5,242260.4,281761.4,324368.6,353821.1,"Current prices, million euro",Gross domestic product at market prices
Slovenia,46738.7,52022.6,56908.8,63951.2,66968.1,"Current prices, million euro",Gross domestic product at market prices
Slovakia,94320.6,101933.5,110046.4,123833.2,130985.1,"Current prices, million euro",Gross domestic product at market prices
Finland,236387,248764,266135,272874,275963,"Current prices, million euro",Gross domestic product at market prices
Sweden,478106.9,533953.6,547190.4,535176.8,559138.7,"Current prices, million euro",Gross domestic product at market prices
Iceland,18948,21795.2,27292.3,29092.8,30918.6,"Current prices, million euro",Gross domestic product at market prices
Liechtenstein,5618,6688.5,7011.9,7661,,"Current prices, million euro",Gross domestic product at market prices
Norway,322823.8,425445.6,567468.3,446533.8,446866.1,"Current prices, million euro",Gross domestic product at market prices
Switzerland,650742.6,689174.9,787386.5,826951.8,865619.7,"Current prices, million euro",Gross domestic product at market prices
United Kingdom,,,,,,"Current prices, million euro",Gross domestic product at market prices
Montenegro,4185.6,4955.1,5924,6963.6,7459.2,"Current prices, million euro",Gross domestic product at market prices
Belgium,417994.9,452406.9,508390.3,538959.5,555550.5,"Current prices, million euro","Value added, gross"
Bulgaria,53744.8,62465.7,76535.3,83042.4,90377.6,"Current prices, million euro","Value added, gross"
Czechia,200921,224220.1,261260.4,291432.8,290930.9,"Current prices, million euro","Value added, gross"
Denmark,271165.3,300996,337080.6,333780.7,352400.5,"Current prices, million euro","Value added, gross"
Germany,3098997,3288243,3562822,3820854,3899573,"Current prices, million euro","Value added, gross"
Estonia,24419.9,27521.8,32163.3,33685.2,34561.7,"Current prices, million euro","Value added, gross"
Ireland,360059.1,424242.1,497529.7,484189.7,500059.5,"Current prices, million euro","Value added, gross"
Greece,147236.3,161015.4,183408.7,196528.1,205920.3,"Current prices, million euro","Value added, gross"
Spain,1030964,1118595,1252481,1367656,1449891,"Current prices, million euro","Value added, gross"
France,2056545.2,2212764.4,2368609.4,2538450.4,2611095,"Current prices, million euro","Value added, gross"
Croatia,41979.5,47880.3,56303.5,65124,70941.4,"Current prices, million euro","Value added, gross"
Italy,1496321.9,1644016.4,1793606.6,1913567,1958459.6,"Current prices, million euro","Value added, gross"
Cyprus,19958.6,22796.7,26032.4,27679.2,29678.6,"Current prices, million euro","Value added, gross"
Latvia,25367,28062.2,31532.3,34586.7,35008.4,"Current prices, million euro","Value added, gross"
Lithuania,44905,50519.8,61113.6,66444.8,70221.1,"Current prices, million euro","Value added, gross"
Hungary,117436.9,131296.3,143759,171358.8,177298.9,"Current prices, million euro","Value added, gross"
Malta,13157.8,15344.6,16961.1,19090.9,20769,"Current prices, million euro","Value added, gross"
Netherlands,726149,791730,888174,944801,1007338,"Current prices, million euro","Value added, gross"
Austria,340529.9,362537.3,401372.2,424979.6,433724.3,"Current prices, million euro","Value added, gross"
Poland,469239,508282.2,590308.8,679422.1,751796.6,"Current prices, million euro","Value added, gross"
Portugal,175104.3,187361.5,211027.9,233135.5,247506.3,"Current prices, million euro","Value added, gross"
Romania,200437.6,218993.9,258682.9,296141.6,321170,"Current prices, million euro","Value added, gross"
Slovenia,41139.2,45529.7,49959.9,56897.4,59253.7,"Current prices, million euro","Value added, gross"
Slovakia,84655,91143.3,98176.8,113130.1,118553.5,"Current prices, million euro","Value added, gross"
Finland,204507,215307,231139,238990,241374,"Current prices, million euro","Value added, gross"
Sweden,423900.4,473274.1,485266.9,478096,500793.5,"Current prices, million euro","Value added, gross"
Iceland,17053.9,19528,24512.8,26054.5,27513.8,"Current prices, million euro","Value added, gross"
Liechtenstein,5430.5,6423.7,6758.6,,,"Current prices, million euro","Value added, gross"
Norway,285154.2,383190.5,525399.6,406812.2,405923.7,"Current prices, million euro","Value added, gross"
Switzerland,633067.1,669848.4,766372.1,805939.1,842968.5,"Current prices, million euro","Value added, gross"
United Kingdom,,,,,,"Current prices, million euro","Value added, gross"
Montenegro,3467.5,4021.5,4769.9,5583.9,5887.7,"Current prices, million euro","Value added, gross"
Belgium,345437.9,372902,420161,448568.3,466554.3,"Current prices, million euro",Final consumption expenditure
Bulgaria,47884.5,54832.8,65594.1,72119.2,80199.1,"Current prices, million euro",Final consumption expenditure
Czechia,150975.1,167656.1,195601.5,212598.9,214922.9,"Current prices, million euro",Final consumption expenditure
Denmark,223467.1,242221.7,251377.1,259822.4,268163.4,"Current prices, million euro",Final consumption expenditure
Germany,2517814,2661024,2944908,3110779,3230624,"Current prices, million euro",Final consumption expenditure
Estonia,19899.8,22064.9,26053.9,28313.9,29375.7,"Current prices, million euro",Final consumption expenditure
Ireland,142740.3,158436.6,183566.2,205966.6,219082.9,"Current prices, million euro",Final consumption expenditure
Greece,157239.1,166133.5,186352.4,198192.5,207115.4,"Current prices, million euro",Final consumption expenditure
Spain,879177,953000,1050308,1124771,1197616,"Current prices, million euro",Final consumption expenditure
France,1829584.2,1950423.2,2088896.4,2226912.1,2301312.3,"Current prices, million euro",Final consumption expenditure
Croatia,42317.3,47270.9,54191.1,61307.9,68508.5,"Current prices, million euro",Final consumption expenditure
Italy,1312447.1,1399524.9,1542921.3,1612274.3,1651960,"Current prices, million euro",Final consumption expenditure
Cyprus,18060.6,19431,22361.3,24542.9,26006.4,"Current prices, million euro",Final consumption expenditure
Latvia,22330.1,25004.2,29123.8,31158.5,32733.6,"Current prices, million euro",Final consumption expenditure
Lithuania,37400.6,41779.6,49928.2,54726.3,58343.1,"Current prices, million euro",Final consumption expenditure
Hungary,97920.2,106865.2,118789.8,137619.1,146054.4,"Current prices, million euro",Final consumption expenditure
