"Country","Capital","Latitude","Longitude","Distance_km","Borders_Ukraine"
"Belgium","Brussels",50.8503,4.3517,1838.11410134558,"No"
"Bulgaria","Sofia",42.6977,23.3219,1022.84873854371,"No"
"Croatia","Zagreb",45.815,15.9819,1194.54624908966,"No"
"Cyprus","Nicosia",35.1856,33.3823,1714.85766696994,"No"
"Czechia","Prague",50.0755,14.4378,1143.21897846915,"No"
"Denmark","Copenhagen",55.6761,12.5683,1329.39122392844,"No"
"Estonia","Tallinn",59.437,24.7535,1065.30872541181,"No"
"Finland","Helsinki",60.1695,24.9354,1137.41872831193,"No"
"France","Paris",48.8566,2.3522,2025.74670227008,"No"
"Germany","Berlin",52.52,13.405,1205.80082085068,"No"
"Greece","Athens",37.9838,23.7275,1488.34548934024,"No"
"Hungary","Budapest",47.4979,19.0402,899.968620512534,"Yes"
"Ireland","Dublin",53.3498,-6.2603,2518.58460208202,"No"
"Italy","Rome",41.9028,12.4964,1677.08748520456,"No"
"Latvia","Riga",56.9496,24.1052,837.264586722296,"No"
"Lithuania","Vilnius",54.6872,25.2797,589.87034596789,"No"
"Luxembourg","Luxembourg",49.6117,6.1319,1738.84740089586,"No"
"Malta","Valletta",35.8997,14.5146,2067.42664075971,"No"
"Netherlands","Amsterdam",52.3676,4.9041,1782.15976233318,"No"
"Poland","Warsaw",52.2297,21.0122,689.861539235299,"Yes"
"Portugal","Lisbon",38.7169,-9.1399,3355.93196563687,"No"
"Romania","Bucharest",44.4268,26.1025,748.258908881686,"Yes"
"Slovakia","Bratislava",48.1486,17.1077,1005.45262546129,"Yes"
"Slovenia","Ljubljana",46.0569,14.5058,1280.73478454013,"No"
"Spain","Madrid",40.4168,-3.7038,2865.74756734888,"No"
"Sweden","Stockholm",59.3293,18.0686,1265.78212497808,"No"
"Iceland","Reykjavik",64.1466,-21.9426,3377.21999513329,"No"
"Norway","Oslo",59.9139,10.7522,1628.70801604412,"No"
"Switzerland","Bern",46.9481,7.4474,1732.09148003962,"No"
