TIME,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,Class,Dataset
Belgium,5.2,5.1,4.9,4.8,4.8,5.1,6.2,6.7,6.4,5.8,5.6,5.9,6.6,6.8,6.7,6.4,6,6,6.5,6.7,6.3,6,5.7,5.6,5.4,5.3,5.4,5.6,5.7,5.6,5.7,5.7,5.6,5.6,5.6,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.6,5.6,5.6,5.5,5.4,5.5,5.7,5.7,5.6,5.4,5.3,5.3,5.8,6,6,5.9,5.8,6,6.1,6.2,6.2,6.3,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Bulgaria,5.5,5.4,5.6,7.1,6.9,6.3,5.8,5.7,5.8,6.1,6.2,6.3,6.4,6.2,6.1,6,5.6,5.1,4.7,4.5,4.3,4.3,4.4,4.5,4.7,4.8,4.8,4.8,4.7,4.2,3.8,3.5,3.4,3.5,3.7,4,4.3,4.4,4.6,4.8,4.7,4.5,4.2,4,3.9,4.1,4.2,4.4,5,5.1,5,4.7,4.2,3.9,3.7,3.5,3.5,3.8,3.9,3.9,3.9,3.9,3.8,3.7,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Czechia,2.1,1.9,1.9,2.1,2.4,2.6,3,2.8,2.8,3.1,2.8,3.1,3.4,3.3,3.4,3.3,3,2.7,2.7,2.9,2.5,2.4,2,2.1,2.5,2.7,2.3,2.4,2.4,2.4,2.3,2.6,2.2,2.1,2.7,2.2,2.6,2.6,2.6,2.7,2.3,2.6,2.9,2.6,2.7,2.9,2.3,2.8,3.2,2.7,3.1,2.7,2.6,2.8,2.7,2.6,3,2.6,2.5,2.8,2.6,2.7,2.8,2.7,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Denmark,4.9,5.6,5,4.3,5.1,6.2,6.4,6.9,5.8,5.8,5.9,5.6,6.3,6.4,6.5,5,4.9,4.4,4.2,5.6,4.8,4.8,4.1,4.3,5.1,4.7,4,4,4,3.9,4.7,5,4.5,4.5,4.7,4.6,4.5,5.7,4.7,4.9,4.6,4.3,5.5,4.6,4.8,6.1,5.9,5.7,6.3,6.2,5.6,5.8,5.8,5.7,6.1,6.5,6.8,5.8,6.8,6.9,7,5.9,6.8,6.8,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Germany,3.1,3.5,3.6,3.4,3.6,3.8,4,3.9,3.8,3.4,3.9,3.5,4.1,4.2,4,3.9,3.7,3.5,3.4,3.3,3.4,3.1,3.4,3.2,3.5,3.1,3.1,3.3,2.9,3.1,3.4,3.2,3.1,3.1,3,2.9,3.1,3.2,3,3.1,2.9,3.1,3,3.3,3,3.2,3.1,3,3.2,3.6,3.5,3.2,3.6,3.4,3.6,3.7,3.2,3.2,3.3,3.2,3.7,3.7,3.7,3.8,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Estonia,5,5.1,5.4,6.3,7.2,8,7.6,7.6,7.8,7.9,7.6,7.1,7.4,7.1,6.7,6.5,6.9,6.7,6.3,5.7,5.5,5,5.2,5.5,5.9,5.5,5.5,5.5,5.8,5.9,5.9,5.6,5.3,5.3,5.4,5.3,5.2,5.3,5.9,6.2,6.7,7.2,7.5,7.3,6.4,6.1,6.3,6.9,7.7,7.8,7.7,7.6,7.6,7.5,7.7,7.4,7.8,7.3,7.4,7.8,7.9,8.6,8.2,8.3,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Ireland,4.6,4.6,4.8,4.8,5.3,6.2,7.5,7.7,7.1,6,5.7,6,6.6,7.2,7.6,7.7,7.4,6.9,6.3,5.8,5,4.9,4.8,4.9,4.8,4.6,5,4.6,4.3,4.5,4.6,4.6,4.1,4.2,4.1,4.2,4,4,4.1,4.2,4.3,4.7,4.7,4.7,4.4,4.2,4.1,4.3,4.2,4,4.2,4.5,4.5,4.7,4.9,4.4,4,3.9,3.9,4.3,4.3,4.2,4.4,4.2,4.2,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Greece,17.3,17.3,17.3,18.3,20,19.6,16.1,16.6,16.3,17,18.1,17.5,16.8,16.9,17.6,17.4,15.6,14.4,13.5,13.3,12.3,13,13.7,13,14.4,14,13,12.7,12.9,11.8,11.8,12,11.2,11.3,11.9,12.5,11.7,12,11.9,11.8,11.1,10.6,11,11.9,9.5,10.2,10.8,10.5,12.6,12.6,11.2,10.8,10.3,8.1,9.1,9.6,8.5,9.3,9.8,9.5,9.6,9.3,9.8,8,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Spain,14.2,14.1,15,15.3,15.2,15.5,15.9,16.4,16.4,16.3,16.1,16,16.2,16.3,16,15.7,15.4,15.1,15,14.8,14.4,13.9,13.3,13.1,13.6,13.8,13.8,13.1,12.5,12.4,12.4,12.8,13,13,13,13,13.6,13.6,13,12.1,11.6,11.4,11.7,11.9,12.1,11.9,11.7,11.7,12.3,12.4,12.2,11.6,11.2,11.1,11.2,11.3,11.1,10.8,10.5,10.6,11.2,11.5,11.5,10.9,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
France,8.7,8.1,7.5,7.2,6.5,6.8,8.3,9.4,9.1,8.5,8.2,8.1,8.5,8.4,8.1,7.9,7.6,7.4,7.7,8.3,7.8,7.7,7.6,7.5,7.7,7.5,7.3,7.2,7.1,7,7.2,7.7,7.2,7.3,7.3,7.3,7.4,7.2,7,7,7,6.9,7.2,7.9,7.5,7.7,7.7,7.7,7.9,7.6,7.3,7,7,7,7.3,7.9,7.5,7.5,7.4,7.4,7.6,7.7,7.3,6.7,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
