Country,Capital,Latitude,Longitude,Distance_km,Borders_Ukraine
Belgium,Brussels,50.8503,4.3517,1838.1141013455838,No
Bulgaria,Sofia,42.6977,23.3219,1022.8487385437146,No
Croatia,Zagreb,45.815,15.9819,1194.5462490896596,No
Cyprus,Nicosia,35.1856,33.3823,1714.8576669699407,No
Czechia,Prague,50.0755,14.4378,1143.2189784691532,No
Denmark,Copenhagen,55.6761,12.5683,1329.3912239284405,No
Estonia,Tallinn,59.437,24.7535,1065.3087254118068,No
Finland,Helsinki,60.1695,24.9354,1137.4187283119295,No
France,Paris,48.8566,2.3522,2025.746702270081,No
Germany,Berlin,52.52,13.405,1205.8008208506774,No
Greece,Athens,37.9838,23.7275,1488.345489340242,No
Hungary,Budapest,47.4979,19.0402,899.9686205125341,Yes
Ireland,Dublin,53.3498,-6.2603,2518.5846020820236,No
Italy,Rome,41.9028,12.4964,1677.0874852045558,No
Latvia,Riga,56.9496,24.1052,837.264586722296,No
Lithuania,Vilnius,54.6872,25.2797,589.8703459678901,No
Luxembourg,Luxembourg,49.6117,6.1319,1738.8474008958626,No
Malta,Valletta,35.8997,14.5146,2067.426640759712,No
Netherlands,Amsterdam,52.3676,4.9041,1782.1597623331793,No
Poland,Warsaw,52.2297,21.0122,689.8615392352991,Yes
Portugal,Lisbon,38.7169,-9.1399,3355.9319656368657,No
Romania,Bucharest,44.4268,26.1025,748.2589088816859,Yes
Slovakia,Bratislava,48.1486,17.1077,1005.4526254612855,Yes
Slovenia,Ljubljana,46.0569,14.5058,1280.7347845401316,No
Spain,Madrid,40.4168,-3.7038,2865.747567348882,No
Sweden,Stockholm,59.3293,18.0686,1265.782124978077,No
Iceland,Reykjavik,64.1466,-21.9426,3377.2199951332937,No
Norway,Oslo,59.9139,10.7522,1628.7080160441171,No
Switzerland,Bern,46.9481,7.4474,1732.0914800396206,No
